monday_start;monday_end;desc;
28.08.2000;02.04.2001;dotcom;1
14.05.2001;17.09.2001;dotcom2;1
11.03.2002;15.07.2002;2002correction;1
08.10.2007;10.03.2008;GR;2
12.05.2008;17.11.2008;GR2;2
29.12.2008;02.03.2009;GR3;2
19.04.2010;28.06.2010;Eurodebt;3
25.04.2011;15.08.2011;2011Selloff;3
13.07.2015;31.08.2015;1516Selloff;4
02.11.2015;08.02.2016;1516Selloff2;4
17.09.2018;17.12.2018;2018Cryptocrash;5
10.02.2020;16.03.2020;Covid;6
27.12.2021;13.06.2022;2022Decline;7
08.08.2022;26.09.2022;2022Decline2;7
